Year,shopping_sales,furniture_sales,electronic_sales,grocery_sales
2000,167112.0,91198.0,90369.0,401587.0
2001,167593.0,91480.0,88009.0,418561.0
2002,172308.0,94468.0,91188.0,420292.0
2003,178417.0,96619.0,92505.0,428342.0
2004,189393.0,103327.0,99637.0,439949.0
2005,200194.0,109069.0,106128.0,457697.0
2006,212950.0,113119.0,110105.0,472130.0
2007,221587.0,111410.0,110258.0,491835.0
2008,216971.0,98844.0,108827.0,510355.0
2009,204773.0,84876.0,98067.0,510394.0
2010,213060.0,85216.0,99720.0,521106.0
2011,227915.0,87525.0,101942.0,547530.0
2012,238766.0,91438.0,103506.0,562952.0
2013,244786.0,95325.0,104750.0,574968.0
2014,250287.0,99607.0,104923.0,599806.0
2015,255737.0,106407.0,103870.0,613456.0
