Period,Value
Jan-1992,9716
Feb-1992,9712
Mar-1992,9669
Apr-1992,9862
May-1992,9755
Jun-1992,9915
Jul-1992,9957
Aug-1992,10141
Sep-1992,10154
Oct-1992,10174
Nov-1992,10076
Dec-1992,10318
Jan-1993,10581
Feb-1993,10150
Mar-1993,9916
Apr-1993,10257
May-1993,10386
Jun-1993,10411
Jul-1993,10593
Aug-1993,10406
Sep-1993,10549
Oct-1993,10449
Nov-1993,10475
Dec-1993,10442
Jan-1994,10450
Feb-1994,10587
Mar-1994,10806
Apr-1994,10554
May-1994,10451
Jun-1994,10612
Jul-1994,10672
Aug-1994,10839
Sep-1994,10674
Oct-1994,11000
Nov-1994,10983
Dec-1994,10952
Jan-1995,10939
Feb-1995,10582
Mar-1995,10850
Apr-1995,10796
May-1995,10976
Jun-1995,10948
Jul-1995,10824
Aug-1995,10813
Sep-1995,11198
Oct-1995,10882
Nov-1995,11269
Dec-1995,11124
Jan-1996,11105
Feb-1996,11341
Mar-1996,11376
Apr-1996,11422
May-1996,11504
Jun-1996,11365
Jul-1996,11316
Aug-1996,11360
Sep-1996,11534
Oct-1996,11577
Nov-1996,11318
Dec-1996,11435
Jan-1997,11513
Feb-1997,11468
Mar-1997,11623
Apr-1997,11195
May-1997,11413
Jun-1997,11643
Jul-1997,11735
Aug-1997,11828
Sep-1997,11845
Oct-1997,11881
Nov-1997,11936
Dec-1997,12110
Jan-1998,12154
Feb-1998,12199
Mar-1998,12164
Apr-1998,12459
May-1998,12304
Jun-1998,12447
Jul-1998,12559
Aug-1998,12460
Sep-1998,12180
Oct-1998,12540
Nov-1998,12736
Dec-1998,12746
Jan-1999,12897
Feb-1999,12920
Mar-1999,13075
Apr-1999,13139
May-1999,13373
Jun-1999,13373
Jul-1999,13270
Aug-1999,13404
Sep-1999,13381
Oct-1999,13400
Nov-1999,13416
Dec-1999,13573
Jan-2000,13301
Feb-2000,13532
Mar-2000,13818
Apr-2000,13801
May-2000,14027
Jun-2000,13864
Jul-2000,13722
Aug-2000,14072
Sep-2000,14366
Oct-2000,14231
Nov-2000,14294
Dec-2000,14084
Jan-2001,14135
Feb-2001,14166
Mar-2001,13801
Apr-2001,14217
May-2001,13950
Jun-2001,13804
Jul-2001,13994
Aug-2001,14171
Sep-2001,13286
Oct-2001,13973
Nov-2001,13970
Dec-2001,14126
Jan-2002,14220
Feb-2002,14357
Mar-2002,14436
Apr-2002,14410
May-2002,14220
Jun-2002,14366
Jul-2002,14200
Aug-2002,14338
Sep-2002,13966
Oct-2002,14625
Nov-2002,14456
Dec-2002,14714
Jan-2003,14565
Feb-2003,14142
Mar-2003,14465
Apr-2003,14434
May-2003,14651
Jun-2003,14894
Jul-2003,15141
Aug-2003,15089
Sep-2003,15175
Oct-2003,15067
Nov-2003,15338
Dec-2003,15456
Jan-2004,15513
Feb-2004,15687
Mar-2004,15984
Apr-2004,15567
May-2004,15736
Jun-2004,15555
Jul-2004,15645
Aug-2004,15660
Sep-2004,15764
Oct-2004,16055
Nov-2004,16044
Dec-2004,16183
Jan-2005,16125
Feb-2005,16674
Mar-2005,16293
Apr-2005,16636
May-2005,16514
Jun-2005,16824
Jul-2005,16450
Aug-2005,16759
Sep-2005,16450
Oct-2005,17120
Nov-2005,17142
Dec-2005,17207
Jan-2006,17331
Feb-2006,17384
Mar-2006,17385
Apr-2006,17542
May-2006,17492
Jun-2006,17701
Jul-2006,17691
Aug-2006,17635
Sep-2006,18256
Oct-2006,18126
Nov-2006,17910
Dec-2006,18497
Jan-2007,18493
Feb-2007,18144
Mar-2007,18643
Apr-2007,18189
May-2007,18545
Jun-2007,18388
Jul-2007,18522
Aug-2007,18491
Sep-2007,18412
Oct-2007,18431
Nov-2007,18759
Dec-2007,18570
Jan-2008,18542
Feb-2008,18280
Mar-2008,18338
Apr-2008,18384
May-2008,18642
Jun-2008,18708
Jul-2008,18635
Aug-2008,18524
Sep-2008,17560
Oct-2008,17317
Nov-2008,17173
Dec-2008,16868
Jan-2009,17159
Feb-2009,17401
Mar-2009,16510
Apr-2009,16900
May-2009,17038
Jun-2009,16817
Jul-2009,17015
Aug-2009,17233
Sep-2009,17172
Oct-2009,17296
Nov-2009,17105
Dec-2009,17127
Jan-2010,17346
Feb-2010,17362
Mar-2010,17880
Apr-2010,17728
May-2010,17612
Jun-2010,17532
Jul-2010,17552
Aug-2010,17672
Sep-2010,17670
Oct-2010,17984
Nov-2010,18510
Dec-2010,18212
Jan-2011,18322
Feb-2011,18532
Mar-2011,18719
Apr-2011,18923
May-2011,18864
Jun-2011,19179
Jul-2011,18975
Aug-2011,18911
Sep-2011,19508
Oct-2011,19086
Nov-2011,19370
Dec-2011,19526
Jan-2012,19615
Feb-2012,20148
Mar-2012,20035
Apr-2012,19519
May-2012,19679
Jun-2012,19874
Jul-2012,19741
Aug-2012,19939
Sep-2012,20093
Oct-2012,19935
Nov-2012,20020
Dec-2012,20168
Jan-2013,20451
Feb-2013,20185
Mar-2013,20275
Apr-2013,20488
May-2013,20366
Jun-2013,20345
Jul-2013,20555
Aug-2013,20292
Sep-2013,20264
Oct-2013,20775
Nov-2013,20219
Dec-2013,20571
Jan-2014,20476
Feb-2014,20389
Mar-2014,20581
Apr-2014,21095
May-2014,20708
Jun-2014,20761
Jul-2014,20911
Aug-2014,21006
Sep-2014,20790
Oct-2014,21082
Nov-2014,21274
Dec-2014,21214
Jan-2015,20930
Feb-2015,21098
Mar-2015,21334
Apr-2015,21310
May-2015,21577
Jun-2015,21351
Jul-2015,21523
Aug-2015,21471
Sep-2015,21361
Oct-2015,21140
Nov-2015,21248
Dec-2015,21394
Jan-2016,21176
Feb-2016,21587
Mar-2016,21401
Apr-2016,21262
May-2016,21535
Jun-2016,21570
Jul-2016,21466
Aug-2016,21693
Sep-2016,21750
Oct-2016,21596
Nov-2016,21462
Dec-2016,21768
Jan-2017,21889
Feb-2017,21153
Mar-2017,21696
Apr-2017,21665
May-2017,21498
Jun-2017,21848
Jul-2017,21770
Aug-2017,21940
Sep-2017,21965
Oct-2017,22034
Nov-2017,22266
Dec-2017,21980
Jan-2018,22207
Feb-2018,22316
Mar-2018,22343
Apr-2018,22674
May-2018,23323
Jun-2018,23080
Jul-2018,23458
Aug-2018,22761
Sep-2018,22937
Oct-2018,23062
Nov-2018,NA
Dec-2018,NA
