Period,Value
Jan-1992,3874
Feb-1992,3904
Mar-1992,3916
Apr-1992,3958
May-1992,3981
Jun-1992,3992
Jul-1992,4081
Aug-1992,4048
Sep-1992,4098
Oct-1992,4186
Nov-1992,4118
Dec-1992,4248
Jan-1993,4395
Feb-1993,4343
Mar-1993,4383
Apr-1993,4460
May-1993,4485
Jun-1993,4567
Jul-1993,4642
Aug-1993,4667
Sep-1993,4729
Oct-1993,4710
Nov-1993,4741
Dec-1993,4794
Jan-1994,4837
Feb-1994,4949
Mar-1994,5052
Apr-1994,5090
May-1994,5185
Jun-1994,5313
Jul-1994,5330
Aug-1994,5411
Sep-1994,5508
Oct-1994,5635
Nov-1994,5753
Dec-1994,5834
Jan-1995,5892
Feb-1995,5827
Mar-1995,5849
Apr-1995,5733
May-1995,5956
Jun-1995,6000
Jul-1995,5965
Aug-1995,6159
Sep-1995,6141
Oct-1995,6212
Nov-1995,6263
Dec-1995,6281
Jan-1996,6191
Feb-1996,6248
Mar-1996,6365
Apr-1996,6373
May-1996,6428
Jun-1996,6334
Jul-1996,6234
Aug-1996,6340
Sep-1996,6438
Oct-1996,6428
Nov-1996,6356
Dec-1996,6305
Jan-1997,6128
Feb-1997,6370
Mar-1997,6360
Apr-1997,6456
May-1997,6400
Jun-1997,6440
Jul-1997,6525
Aug-1997,6541
Sep-1997,6559
Oct-1997,6572
Nov-1997,6628
Dec-1997,6659
Jan-1998,6776
Feb-1998,6797
Mar-1998,6788
Apr-1998,6766
May-1998,6829
Jun-1998,6921
Jul-1998,6960
Aug-1998,7047
Sep-1998,6954
Oct-1998,6940
Nov-1998,7000
Dec-1998,6964
Jan-1999,7000
Feb-1999,7024
Mar-1999,7116
Apr-1999,7195
May-1999,7230
Jun-1999,7286
Jul-1999,7378
Aug-1999,7281
Sep-1999,7410
Oct-1999,7400
Nov-1999,7350
Dec-1999,7498
Jan-2000,7605
Feb-2000,7674
Mar-2000,7652
Apr-2000,7813
May-2000,7611
Jun-2000,7435
Jul-2000,7397
Aug-2000,7440
Sep-2000,7588
Oct-2000,7416
Nov-2000,7392
Dec-2000,7346
Jan-2001,7376
Feb-2001,7334
Mar-2001,7267
Apr-2001,7212
May-2001,7135
Jun-2001,7246
Jul-2001,7298
Aug-2001,7276
Sep-2001,7141
Oct-2001,7237
Nov-2001,7662
Dec-2001,7825
Jan-2002,7604
Feb-2002,7643
Mar-2002,7690
Apr-2002,7616
May-2002,7678
Jun-2002,7656
Jul-2002,7543
Aug-2002,7520
Sep-2002,7511
Oct-2002,7522
Nov-2002,7545
Dec-2002,7660
Jan-2003,7439
Feb-2003,7354
Mar-2003,7364
Apr-2003,7440
May-2003,7563
Jun-2003,7650
Jul-2003,7731
Aug-2003,7914
Sep-2003,7909
Oct-2003,7984
Nov-2003,8030
Dec-2003,8127
Jan-2004,8104
Feb-2004,8080
Mar-2004,8117
Apr-2004,8218
May-2004,8241
Jun-2004,8297
Jul-2004,8337
Aug-2004,8335
Sep-2004,8422
Oct-2004,8494
Nov-2004,8479
Dec-2004,8513
Jan-2005,8555
Feb-2005,8765
Mar-2005,8784
Apr-2005,8820
May-2005,8775
Jun-2005,8828
Jul-2005,8877
Aug-2005,8868
Sep-2005,8955
Oct-2005,9047
Nov-2005,8965
Dec-2005,8889
Jan-2006,9395
Feb-2006,9101
Mar-2006,9185
Apr-2006,9165
May-2006,9132
Jun-2006,9130
Jul-2006,9126
Aug-2006,9124
Sep-2006,9158
Oct-2006,8953
Nov-2006,9158
Dec-2006,9478
Jan-2007,9229
Feb-2007,9123
Mar-2007,9026
Apr-2007,9008
May-2007,9090
Jun-2007,9023
Jul-2007,9088
Aug-2007,9274
Sep-2007,9174
Oct-2007,9293
Nov-2007,9562
Dec-2007,9368
Jan-2008,9175
Feb-2008,9196
Mar-2008,9171
Apr-2008,9286
May-2008,9530
Jun-2008,9305
Jul-2008,9329
Aug-2008,9201
Sep-2008,8814
Oct-2008,8732
Nov-2008,8737
Dec-2008,8351
Jan-2009,8884
Feb-2009,8844
Mar-2009,8099
Apr-2009,8049
May-2009,8026
Jun-2009,8039
Jul-2009,7965
Aug-2009,8000
Sep-2009,7965
Oct-2009,7920
Nov-2009,8208
Dec-2009,8068
Jan-2010,8232
Feb-2010,8482
Mar-2010,8122
Apr-2010,8289
May-2010,8366
Jun-2010,8492
Jul-2010,8361
Aug-2010,8329
Sep-2010,8383
Oct-2010,8265
Nov-2010,8114
Dec-2010,8285
Jan-2011,8218
Feb-2011,8347
Mar-2011,8442
Apr-2011,8529
May-2011,8416
Jun-2011,8430
Jul-2011,8557
Aug-2011,8615
Sep-2011,8493
Oct-2011,8795
Nov-2011,8638
Dec-2011,8462
Jan-2012,8513
Feb-2012,8529
Mar-2012,8698
Apr-2012,8559
May-2012,8704
Jun-2012,8668
Jul-2012,8750
Aug-2012,8656
Sep-2012,8619
Oct-2012,8350
Nov-2012,8660
Dec-2012,8800
Jan-2013,8828
Feb-2013,8904
Mar-2013,8683
Apr-2013,8731
May-2013,8746
Jun-2013,8750
Jul-2013,8708
Aug-2013,8710
Sep-2013,8664
Oct-2013,8761
Nov-2013,8651
Dec-2013,8614
Jan-2014,8656
Feb-2014,8677
Mar-2014,8707
Apr-2014,8706
May-2014,8588
Jun-2014,8516
Jul-2014,8598
Aug-2014,8693
Sep-2014,8871
Oct-2014,8845
Nov-2014,9047
Dec-2014,9019
Jan-2015,8866
Feb-2015,8708
Mar-2015,8525
Apr-2015,8650
May-2015,8714
Jun-2015,8820
Jul-2015,8668
Aug-2015,8670
Sep-2015,8694
Oct-2015,8622
Nov-2015,8480
Dec-2015,8453
Jan-2016,8318
Feb-2016,8378
Mar-2016,8253
Apr-2016,8318
May-2016,8338
Jun-2016,8309
Jul-2016,8390
Aug-2016,8505
Sep-2016,8157
Oct-2016,8042
Nov-2016,7884
Dec-2016,7970
Jan-2017,8069
