Period,Value
Jan-1992,4254
Feb-1992,4342
Mar-1992,4330
Apr-1992,4359
May-1992,4331
Jun-1992,4401
Jul-1992,4368
Aug-1992,4372
Sep-1992,4345
Oct-1992,4299
Nov-1992,4368
Dec-1992,4428
Jan-1993,4637
Feb-1993,4507
Mar-1993,4463
Apr-1993,4564
May-1993,4642
Jun-1993,4609
Jul-1993,4640
Aug-1993,4645
Sep-1993,4640
Oct-1993,4663
Nov-1993,4693
Dec-1993,4693
Jan-1994,4571
Feb-1994,4775
Mar-1994,4910
Apr-1994,4916
May-1994,4971
Jun-1994,5018
Jul-1994,5046
Aug-1994,5165
Sep-1994,5177
Oct-1994,5260
Nov-1994,5199
Dec-1994,5254
Jan-1995,5265
Feb-1995,5081
Mar-1995,5130
Apr-1995,5181
May-1995,5216
Jun-1995,5217
Jul-1995,5318
Aug-1995,5304
Sep-1995,5407
Oct-1995,5429
Nov-1995,5516
Dec-1995,5445
Jan-1996,5302
Feb-1996,5346
Mar-1996,5566
Apr-1996,5595
May-1996,5586
Jun-1996,5678
Jul-1996,5696
Aug-1996,5655
Sep-1996,5762
Oct-1996,5779
Nov-1996,5768
Dec-1996,5746
Jan-1997,5823
Feb-1997,5847
Mar-1997,5916
Apr-1997,5968
May-1997,6004
Jun-1997,6034
Jul-1997,6039
Aug-1997,6146
Sep-1997,6162
Oct-1997,6154
Nov-1997,6267
Dec-1997,6290
Jan-1998,6377
Feb-1998,6342
Mar-1998,6340
Apr-1998,6369
May-1998,6359
Jun-1998,6426
Jul-1998,6447
Aug-1998,6444
Sep-1998,6419
Oct-1998,6504
Nov-1998,6666
Dec-1998,6687
Jan-1999,6617
Feb-1999,6767
Mar-1999,6831
Apr-1999,6794
May-1999,6884
Jun-1999,6986
Jul-1999,6954
Aug-1999,7147
Sep-1999,7292
Oct-1999,7324
Nov-1999,7272
Dec-1999,7246
Jan-2000,7484
Feb-2000,7548
Mar-2000,7599
Apr-2000,7729
May-2000,7673
Jun-2000,7593
Jul-2000,7748
Aug-2000,7682
Sep-2000,7665
Oct-2000,7737
Nov-2000,7580
Dec-2000,7160
Jan-2001,7764
Feb-2001,7611
Mar-2001,7549
Apr-2001,7560
May-2001,7559
Jun-2001,7613
Jul-2001,7671
Aug-2001,7628
Sep-2001,7419
Oct-2001,7543
Nov-2001,7694
Dec-2001,7869
Jan-2002,7847
Feb-2002,7932
Mar-2002,7936
Apr-2002,7874
May-2002,7959
Jun-2002,7831
Jul-2002,7741
Aug-2002,7837
Sep-2002,7832
Oct-2002,7789
Nov-2002,7963
Dec-2002,7927
Jan-2003,7824
Feb-2003,7501
Mar-2003,7854
Apr-2003,7895
May-2003,8062
Jun-2003,8084
Jul-2003,8115
Aug-2003,8156
Sep-2003,8214
Oct-2003,8244
Nov-2003,8358
Dec-2003,8312
Jan-2004,8307
Feb-2004,8375
Mar-2004,8585
Apr-2004,8519
May-2004,8389
Jun-2004,8572
Jul-2004,8868
Aug-2004,8675
Sep-2004,8604
Oct-2004,8806
Nov-2004,8722
Dec-2004,8905
Jan-2005,8856
Feb-2005,8908
Mar-2005,8840
Apr-2005,8994
May-2005,8963
Jun-2005,9093
Jul-2005,9084
Aug-2005,9193
Sep-2005,9244
Oct-2005,9315
Nov-2005,9319
Dec-2005,9260
Jan-2006,9561
Feb-2006,9439
Mar-2006,9431
Apr-2006,9402
May-2006,9368
Jun-2006,9485
Jul-2006,9442
Aug-2006,9422
Sep-2006,9549
Oct-2006,9375
Nov-2006,9311
Dec-2006,9334
Jan-2007,9609
Feb-2007,9369
Mar-2007,9406
Apr-2007,9430
May-2007,9331
Jun-2007,9264
Jul-2007,9315
Aug-2007,9300
Sep-2007,9141
Oct-2007,9142
Nov-2007,9094
Dec-2007,9009
Jan-2008,8873
Feb-2008,8594
Mar-2008,8631
Apr-2008,8606
May-2008,8587
Jun-2008,8473
Jul-2008,8369
Aug-2008,8154
Sep-2008,7722
Oct-2008,7735
Nov-2008,7640
Dec-2008,7460
Jan-2009,7363
Feb-2009,7285
Mar-2009,7041
Apr-2009,7067
May-2009,7087
Jun-2009,7092
Jul-2009,7039
Aug-2009,6991
Sep-2009,6981
Oct-2009,6915
Nov-2009,6991
Dec-2009,7024
Jan-2010,7011
Feb-2010,7123
Mar-2010,7235
Apr-2010,7121
May-2010,7117
Jun-2010,7072
Jul-2010,7094
Aug-2010,7130
Sep-2010,7108
Oct-2010,7039
Nov-2010,7104
Dec-2010,7062
Jan-2011,6992
Feb-2011,7145
Mar-2011,7397
Apr-2011,7321
May-2011,7245
Jun-2011,7227
Jul-2011,7263
Aug-2011,7333
Sep-2011,7384
Oct-2011,7303
Nov-2011,7385
Dec-2011,7530
Jan-2012,7637
Feb-2012,7627
Mar-2012,7587
Apr-2012,7510
May-2012,7645
Jun-2012,7552
Jul-2012,7650
Aug-2012,7600
Sep-2012,7614
Oct-2012,7416
Nov-2012,7641
Dec-2012,7959
Jan-2013,7897
Feb-2013,7850
Mar-2013,7851
Apr-2013,7806
May-2013,7741
Jun-2013,7956
Jul-2013,7937
Aug-2013,7982
Sep-2013,8057
Oct-2013,8132
Nov-2013,8210
Dec-2013,7906
Jan-2014,7760
Feb-2014,8048
Mar-2014,8186
Apr-2014,8297
May-2014,8276
Jun-2014,8296
Jul-2014,8303
Aug-2014,8447
Sep-2014,8405
Oct-2014,8416
Nov-2014,8532
Dec-2014,8641
Jan-2015,8610
Feb-2015,8414
Mar-2015,8677
Apr-2015,8788
May-2015,8965
Jun-2015,8796
Jul-2015,8958
Aug-2015,8977
Sep-2015,8976
Oct-2015,9036
Nov-2015,9045
Dec-2015,9165
Jan-2016,9108
Feb-2016,9155
Mar-2016,9108
Apr-2016,9122
May-2016,9164
Jun-2016,9334
Jul-2016,9300
Aug-2016,9259
Sep-2016,9545
Oct-2016,9376
Nov-2016,9342
Dec-2016,9237
Jan-2017,9550
Feb-2017,9583
Mar-2017,9702
Apr-2017,9640
May-2017,9726
Jun-2017,9785
Jul-2017,9774
Aug-2017,9833
Sep-2017,9859
Oct-2017,10042
Nov-2017,10088
Dec-2017,9979
Jan-2018,9984
Feb-2018,10007
Mar-2018,10081
Apr-2018,10355
May-2018,10164
Jun-2018,10195
Jul-2018,10246
Aug-2018,10138
Sep-2018,10193
Oct-2018,10166
Nov-2018,NA
Dec-2018,NA
