NAICS,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0,1-4,5-9,10-19,<20,20-99,100-499,<500,500+
--,Total,Firms,"5,657,774","703,837","2,697,839","1,019,105","616,064","5,036,845","518,258","85,304","5,640,407","17,367"
--,Total,Establishments,"7,095,302","705,612","2,703,984","1,033,719","650,345","5,093,660","670,477","315,856","6,079,993","1,015,309"
--,Total,Employment,"115,061,184",0,"5,630,017","6,698,077","8,274,541","20,602,635","20,370,447","16,410,367","57,383,449","57,677,735"
--,Total,"Annual Payroll ($1,000)","3,989,086,323","34,289,996","153,691,559","178,881,075","236,986,003","603,848,633","624,313,095","539,384,914","1,767,546,642","2,221,539,681"
11,"Agriculture, forestry, fishing, & hunting",Firms,"25,802","4,077","13,246","4,580","2,268","24,171","1,325",219,"25,715",87
11,"Agriculture, forestry, fishing, & hunting",Establishments,"26,447","4,080","13,256","4,587","2,284","24,207","1,419",413,"26,039",408
11,"Agriculture, forestry, fishing, & hunting",Employment,"183,476",0,"26,567","30,249","29,920","86,736","47,780","29,348","163,864","19,612"
11,"Agriculture, forestry, fishing, & hunting","Annual Payroll ($1,000)","4,791,849","110,312","608,405","727,175","767,892","2,213,784","1,202,366","674,241","4,090,391","701,458"
113,Forestry and logging,Firms,"12,592","1,432","6,330","2,773","1,410","11,945",572,36,"12,553",39
113,Forestry and logging,Establishments,"12,795","1,434","6,333","2,776","1,412","11,955",586,39,"12,580",215
113,Forestry and logging,Employment,"77,984",0,"13,363","18,416","18,475","50,254","18,427",[h],[l],[i]
113,Forestry and logging,"Annual Payroll ($1,000)","2,161,848","36,530","295,007","427,811","471,767","1,231,115","509,187",(D),(D),(D)
1131,Timber tract operations,Firms,392,71,185,67,27,350,19,7,376,16
1131,Timber tract operations,Establishments,441,72,185,69,27,353,20,10,383,58
1131,Timber tract operations,Employment,"3,203",0,363,439,354,"1,156",488,439,"2,083","1,120"
1131,Timber tract operations,"Annual Payroll ($1,000)","122,992","1,898","9,281","14,026","10,895","36,100","16,940","11,534","64,574","58,418"
11311,Timber tract operations,Firms,392,71,185,67,27,350,19,7,376,16
11311,Timber tract operations,Establishments,441,72,185,69,27,353,20,10,383,58
11311,Timber tract operations,Employment,"3,203",0,363,439,354,"1,156",488,439,"2,083","1,120"
11311,Timber tract operations,"Annual Payroll ($1,000)","122,992","1,898","9,281","14,026","10,895","36,100","16,940","11,534","64,574","58,418"
113110,Timber tract operations,Firms,392,71,185,67,27,350,19,7,376,16
113110,Timber tract operations,Establishments,441,72,185,69,27,353,20,10,383,58
113110,Timber tract operations,Employment,"3,203",0,363,439,354,"1,156",488,439,"2,083","1,120"
113110,Timber tract operations,"Annual Payroll ($1,000)","122,992","1,898","9,281","14,026","10,895","36,100","16,940","11,534","64,574","58,418"
1132,Forest nurseries & gathering forest products,Firms,188,36,86,32,11,165,13,4,182,6
1132,Forest nurseries & gathering forest products,Establishments,256,36,86,32,11,165,14,4,183,73
