NAICS CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,Employment Size of the Enterprise,,,,,,,,
,,,,0,1-4,5-9,10-19,<20,20-99,100-499,<500,500+
--,Total,Firms,"5,697,759","770,041","2,695,606","1,010,804","613,880","5,090,331","508,249","82,334","5,680,914","16,845"
--,Total,Establishments,"7,200,770","771,135","2,699,380","1,024,081","652,930","5,147,526","692,775","332,508","6,172,809","1,027,961"
--,Total,Employment,"112,400,654",0,"5,697,652","6,639,666","8,246,053","20,583,371","19,874,069","15,908,852","56,366,292","56,034,362"
--,Total,"Annual Payroll ($1,000)","3,943,179,606","38,127,022","155,662,211","182,383,776","241,410,588","617,583,597","623,716,021","535,749,956","1,777,049,574","2,166,130,032"
--,Total,"Receipts ($1,000)","22,062,528,196","215,139,058","937,533,365","888,342,543","1,085,595,864","3,126,610,830","2,884,696,648","2,547,423,855","8,558,731,333","13,503,796,863"
11,"Agriculture, forestry, fishing, & hunting",Firms,"25,828","4,383","13,020","4,406","2,339","24,148","1,380",205,"25,733",95
11,"Agriculture, forestry, fishing, & hunting",Establishments,"26,552","4,383","13,026","4,412","2,362","24,183","1,493",376,"26,052",500
11,"Agriculture, forestry, fishing, & hunting",Employment,"181,162",0,"26,490","28,813","30,870","86,173","48,173",[k],[m],[j]
11,"Agriculture, forestry, fishing, & hunting","Annual Payroll ($1,000)","4,978,291","124,947","617,729","704,995","816,319","2,263,990","1,277,033",(D),(D),(D)
11,"Agriculture, forestry, fishing, & hunting","Receipts ($1,000)","25,873,138","961,761","4,251,622","3,526,593","3,597,124","12,337,100","5,864,036",(D),(D),(D)
113,Forestry and logging,Firms,"12,301","1,627","5,979","2,632","1,382","11,620",609,35,"12,264",37
113,Forestry and logging,Establishments,"12,509","1,627","5,981","2,636","1,384","11,628",630,38,"12,296",213
113,Forestry and logging,Employment,"75,822",0,"12,929","17,319","18,146","48,394","18,845","2,478","69,717","6,105"
113,Forestry and logging,"Annual Payroll ($1,000)","2,207,048","43,944","294,535","419,443","480,542","1,238,464","554,075","84,324","1,876,863","330,185"
113,Forestry and logging,"Receipts ($1,000)","11,235,337","366,646","2,048,753","2,090,877","2,075,072","6,581,348","2,495,669","401,475","9,478,492","1,756,845"
1131,Timber tract operations,Firms,633,108,318,112,41,579,33,6,618,15
1131,Timber tract operations,Establishments,680,108,318,113,42,581,35,8,624,56
1131,Timber tract operations,Employment,"4,203",0,652,729,528,"1,909","1,004",250,"3,163","1,040"
