,,,,,,,    Employment Size of the Enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0,1-4,5-9,10-19,<20,20-99,100-499,<500,500+,,,,,,,,,,,,,,,,,,,,,,,,
--,Total,Firms,"5,767,127","770,299","2,734,133","1,025,497","620,387","5,150,316","515,056","84,829","5,750,201","16,926",,,,,,,,,,,,,,,,,,,,,,,,
--,Total,Establishments,"7,254,745","772,325","2,738,027","1,037,709","655,427","5,203,488","687,107","331,496","6,222,091","1,032,654",,,,,,,,,,,,,,,,,,,,,,,,
--,Total,Employment,"113,398,043",0,"5,768,407","6,732,132","8,329,813","20,830,352","20,186,989","16,430,229","57,447,570","55,950,473",,,,,,,,,,,,,,,,,,,,,,,,
--,Total,"Annual Payroll ($1,000)","4,040,888,841","38,404,329","158,836,735","187,418,785","246,561,569","631,221,418","635,269,094","552,003,350","1,818,493,862","2,222,394,979",,,,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Firms,"25,144","4,377","12,658","4,223","2,217","23,475","1,372",203,"25,050",94,,,,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Establishments,"25,861","4,378","12,669","4,229","2,227","23,503","1,467",400,"25,370",491,,,,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Employment,"180,673",0,"25,723","27,703","29,371","82,797",         [k],"26,025",         [m],         [j],,,,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support","Annual Payroll ($1,000)","5,095,173","147,155","609,724","712,728","789,458","2,259,065",         (D),"649,200",         (D),         (D),,,,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Firms,"11,708","1,538","5,694","2,476","1,312","11,020",617,38,"11,675",33,,,,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Establishments,"11,914","1,539","5,699","2,477","1,313","11,028",633,61,"11,722",192,,,,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Employment,"75,818",0,"12,377","16,358","17,318","46,053",         [j],         [h],"68,419","7,399",,,,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,"Annual Payroll ($1,000)","2,259,730","51,039","282,256","418,104","472,601","1,224,000",         (D),         (D),"1,877,601","382,129",,,,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Firms,566,101,290,90,39,520,24,5,549,17,,,,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Establishments,621,101,291,91,39,522,25,7,554,67,,,,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Employment,"5,515",0,570,606,498,"1,674",717,228,"2,619","2,896",,,,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,"Annual Payroll ($1,000)","220,569","2,679","14,743","20,063","16,275","53,760","28,710","6,789","89,259","131,310",,,,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,Firms,566,101,290,90,39,520,24,5,549,17,,,,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,Establishments,621,101,291,91,39,522,25,7,554,67,,,,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,Employment,"5,515",0,570,606,498,"1,674",717,228,"2,619","2,896",,,,,,,,,,,,,,,,,,,,,,,,
11311,Timber Tract Operations,"Annual Payroll ($1,000)","220,569","2,679","14,743","20,063","16,275","53,760","28,710","6,789","89,259","131,310",,,,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,Firms,566,101,290,90,39,520,24,5,549,17,,,,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,Establishments,621,101,291,91,39,522,25,7,554,67,,,,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,Employment,"5,515",0,570,606,498,"1,674",717,228,"2,619","2,896",,,,,,,,,,,,,,,,,,,,,,,,
113110,Timber Tract Operations,"Annual Payroll ($1,000)","220,569","2,679","14,743","20,063","16,275","53,760","28,710","6,789","89,259","131,310",,,,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,Firms,258,64,105,39,23,231,15,6,252,6,,,,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,Establishments,316,64,105,39,23,231,16,6,253,63,,,,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,Employment,"2,283",0,206,247,327,780,         [f],         [e],"1,768",515,,,,,,,,,,,,,,,,,,,,,,,,
1132,Forest Nurseries and Gathering of Forest Products,"Annual Payroll ($1,000)","72,427","5,312","5,192","7,139","7,586","25,229",         (D),         (D),"43,245","29,182",,,,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,Firms,258,64,105,39,23,231,15,6,252,6,,,,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,Establishments,316,64,105,39,23,231,16,6,253,63,,,,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,Employment,"2,283",0,206,247,327,780,         [f],         [e],"1,768",515,,,,,,,,,,,,,,,,,,,,,,,,
11321,Forest Nurseries and Gathering of Forest Products,"Annual Payroll ($1,000)","72,427","5,312","5,192","7,139","7,586","25,229",         (D),         (D),"43,245","29,182",,,,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,Firms,258,64,105,39,23,231,15,6,252,6,,,,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,Establishments,316,64,105,39,23,231,16,6,253,63,,,,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,Employment,"2,283",0,206,247,327,780,         [f],         [e],"1,768",515,,,,,,,,,,,,,,,,,,,,,,,,
113210,Forest Nurseries and Gathering of Forest Products,"Annual Payroll ($1,000)","72,427","5,312","5,192","7,139","7,586","25,229",         (D),         (D),"43,245","29,182",,,,,,,,,,,,,,,,,,,,,,,,
1133,Logging,Firms,"10,896","1,373","5,300","2,347","1,250","10,270",579,27,"10,876",20,,,,,,,,,,,,,,,,,,,,,,,,
1133,Logging,Establishments,"10,977","1,374","5,303","2,347","1,251","10,275",592,48,"10,915",62,,,,,,,,,,,,,,,,,,,,,,,,
1133,Logging,Employment,"68,020",0,"11,601","15,505","16,493","43,599","18,088","2,345","64,032","3,988",,,,,,,,,,,,,,,,,,,,,,,,
