NAICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,0-4,5-9,10-19,<20,20-99,100-499,<500,500+,,,,,,,,,,,,,,,,,,,,,
--,Total,Firms,"6,022,127","3,670,028","1,060,787","646,816","5,377,631","535,865","90,560","6,004,056","18,071",,,,,,,,,,,,,,,,,,,,,
--,Total,Establishments,"7,601,160","3,677,153","1,073,496","678,524","5,429,173","697,755","345,719","6,472,647","1,128,513",,,,,,,,,,,,,,,,,,,,,
--,Total,Employment,"119,917,165","5,959,585","6,973,537","8,676,398","21,609,520","21,076,875","17,537,345","60,223,740","59,693,425",,,,,,,,,,,,,,,,,,,,,
--,Total,"Annual Payroll ($1,000)","4,792,429,911","229,730,040","214,137,111","282,193,078","726,060,229","741,917,153","660,815,715","2,128,793,097","2,663,636,814",,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Firms,"22,888","15,621","3,815","1,958","21,394","1,188",215,"22,797",91,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Establishments,"23,551","15,631","3,822","1,966","21,419","1,285",389,"23,093",458,,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support",Employment,"165,661","23,329",[k],"25,713",[l],[k],"27,164",[m],[j],,,,,,,,,,,,,,,,,,,,,
11,"Forestry, Fishing, Hunting, and Agriculture Support","Annual Payroll ($1,000)","5,199,819","774,215",(D),"779,157",(D),(D),"772,896",(D),(D),,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Firms,"10,543","6,359","2,368","1,219","9,946",530,37,"10,513",30,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Establishments,"10,723","6,364","2,370","1,219","9,953",539,69,"10,561",162,,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,Employment,"66,304","11,060","15,671","15,860","42,591","16,499","2,771","61,861","4,443",,,,,,,,,,,,,,,,,,,,,
113,Forestry and Logging,"Annual Payroll ($1,000)","2,208,516","338,186","439,716","482,176","1,260,078","571,433","95,009","1,926,520","281,996",,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Firms,408,280,53,39,372,14,5,391,17,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Establishments,454,280,55,39,374,15,11,400,54,,,,,,,,,,,,,,,,,,,,,
1131,Timber Tract Operations,Employment,"2,806",411,322,522,"1,255",422,186,"1,863",943,,,,,,,,,,,,,,,,,,,,,
